id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
14551,Cozy & Colorful by Nature (Private Room),57237,Mun,,Girona,41.9951737346185,2.8366728538073427,Private room,52,2,64,2023-09-11,0.38,1,355,7,HUTG-049542
455622,Llança - Cataluña - family holidays,2264291,Régis,,Llançà,42.368106842041016,3.1641480922698975,Entire home/apt,60,3,61,2023-10-15,0.42,1,51,8,HUTG-044358
45400,Begur - Loft - Costa Brava - SPAIN,201228,Oscar,,Begur,41.95586,3.21224,Entire home/apt,111,1,415,2024-06-25,2.52,1,317,30,
101580,"Villa ZEN costa brava ,700m port,beach & restauran",532063,Xavier,,Lloret de Mar,41.70754,2.88858,Entire home/apt,805,2,25,2023-09-09,0.29,1,149,1,HUTG-015230
106704,Casa rural cerca de la playa,553059,Laura,,Llagostera,41.83841,2.93856,Entire home/apt,314,1,28,2024-04-01,0.18,5,306,3,PG-002599
121666,Costa brava sun and beach,611063,Alicia,,Torroella de Montgrí,42.01023,3.19079,Entire home/apt,110,5,65,2024-05-12,0.49,1,297,11,HUTG-012492-54
459611,Sea view apartment with big terrace,2281859,Gary,,Sant Feliu de Guíxols,41.79249,3.02312,Entire home/apt,67,2,54,2020-08-17,0.37,1,0,0,HUTG-18495
121962,Amplia masia cerca del mar,553059,Laura,,Llagostera,41.84007,2.94776,Entire home/apt,550,1,31,2024-06-24,0.22,5,304,4,PG-000599
122273,Hermosa casa cerca de la playa,553059,Laura,,Llagostera,41.84115,2.95071,Entire home/apt,120,1,44,2023-08-27,0.30,5,317,5,
474284,"Cap Bonifaci Barca, beach @ 20 m",1990392,Enric,,Roses,42.2441,3.19973,Entire home/apt,238,7,12,2023-08-26,0.09,1,209,3,HUTG-017359
122371,"Highest place in Pals w/ 150m2, Mountain & Seaview",613396,Dolphi,,Pals,41.973393,3.174402,Entire home/apt,242,3,2,2023-08-24,0.18,1,107,2,HUTG-025420
478912,Charming house by the sea Cadaqués,2372082,María & Rafa,,Cadaqués,42.28686,3.28938,Entire home/apt,486,7,36,2022-09-04,0.25,1,344,0,HUTG-011565
130159,"Floor comfortable  in Blanes,magnif",632158,Francisco,,Blanes,41.6657,2.78242,Entire home/apt,92,6,28,2024-01-07,0.18,1,292,3,
131374,"Charming house in Costa Brava, near Girona",646551,Jesús,,Riudarenes,41.82211,2.71769,Entire home/apt,321,2,12,2023-05-31,0.10,3,365,0,PG000877
479972,BEAUTIFUL HOUSE in TOSSA DE MAR,1298586,Kristjan & Ana,,Tossa de Mar,41.71809,2.92824,Entire home/apt,318,2,23,2024-06-22,0.16,108,116,6,HUTG-011068
484066,APARTMENT SEA VIEWS in COSTA BRAVA,1298586,Kristjan & Ana,,Tossa de Mar,41.71765,2.92868,Entire home/apt,256,1,74,2024-06-22,0.56,108,131,11,HUTG-011070
154339,Casa Lloret y Mar • Holiday House rent near beach,2552,Barbara,,Lloret de Mar,41.74161,2.81972,Entire home/apt,127,5,3,2019-08-29,0.02,1,346,0,
506095,SPAIN ST. ANTONI CALONGE  APARTMENT FRONTLINE,2494825,Maria LL,,Calonge,41.84278,3.09798,Entire home/apt,121,3,8,2023-07-02,0.05,1,129,1,HUTG-055345
516474,CAMA EN UNA CASA DE COSTA BRAVA 2,1989406,Mari,,Begur,41.95635,3.2079,Private room,70,2,82,2024-06-25,0.63,3,50,16,HUTG-017806
168832,Villa with pool - Emporda / Girona - HUTG-026514,804674,Jordi,,Saus,42.12541,2.93686,Entire home/apt,50,7,17,2023-09-13,0.13,1,15,2,HUTG-020858
520236,"Lloret de Mar, 5 min to the beach!",1835600,Alexander,,Lloret de Mar,41.70102,2.84636,Entire home/apt,114,3,86,2024-06-24,0.59,1,282,7,
520607,El Badiu d'Alemanys 5,2561441,Joan Manuel,,Girona,41.98599,2.8277,Entire home/apt,375,5,23,2024-06-27,0.20,3,280,3,HUTG-014776
520743,"Can Roure, la Fageda d'en Jordà",2541570,Eugeni,,Santa Pau,42.14477,2.5005,Entire home/apt,149,2,298,2024-06-23,2.06,1,316,30,HUTG-015659
207996,"Estudio Anna en casa ecológica, Costa Brava",1023612,Mercè,,Rupià,42.01746368408203,3.0101780891418457,Entire home/apt,150,5,14,2023-08-29,0.12,2,33,3,HUTG-011718
254100,Stone villa Costa Brava,1205693,Ester,,Ventalló,42.14882,3.02667,Entire home/apt,95,1,4,2023-08-13,0.03,1,357,1,Exempt
527021,Front Row View of Roses Bay,2324496,Franck,,Roses,42.24713,3.18406,Entire home/apt,194,3,164,2024-06-08,1.23,1,119,16,HUTG-016278
528521,Casa Rabòs beautiful country house!,2596794,Natacha,,Rabós,42.37955,3.02685,Entire home/apt,225,3,53,2023-08-20,0.39,4,312,2,HUTG-021835
262941,Penthouse in front of the sea-210M2,1379849,Inmaculada,,Palafrugell,41.92025,3.21381,Entire home/apt,600,7,41,2023-07-22,0.31,1,224,1,HUTG-049963
528549,The sea at your feet in Cadaquès,2596935,Marion,,Cadaqués,42.27975,3.27751,Entire home/apt,720,4,33,2024-06-22,0.25,1,258,7,
533779,Cozy apartment with big terrace in S'Agaró,2623666,Elisabet,,Castell-Platja d'Aro,41.79797,3.04926,Entire home/apt,104,4,42,2024-06-26,0.29,1,238,3,HUTG-019065
265647,Canigó (Can Llobet)  PG-455,1393119,Can Llobet Rural,,Capmany,42.37355,2.92054,Entire home/apt,226,7,64,2024-06-17,0.48,8,303,10,PG-000455
537046,Charming house in Costa Brava,2637736,Ana,,Castell-Platja d'Aro,41.83088,3.07543,Entire home/apt,146,2,36,2023-08-20,0.25,1,352,3,HUTG-025631
273037,cal ros,1428767,Joelle,,Palafrugell,41.91011,3.15566,Entire home/apt,85,2,91,2024-06-24,0.63,1,316,9,HUTG-009615
538802,"Un espacio agradable, amplio y cerca de la PLAYA",2468919,Júlia,,Portbou,42.4266,3.16041,Private room,35,2,163,2024-06-28,1.13,1,125,18,
280968,Spend quiet vacation near the sea,1455476,Joseph,,Palamós,41.86124,3.14769,Entire home/apt,106,3,105,2024-06-11,0.73,1,24,12,
539975,"Unique cosy holiday paradise, in nature!",1506816,Jacqueline & Xavi,,Vidreres,41.77852,2.84421,Entire home/apt,195,2,146,2024-06-27,1.00,1,195,24,HUTG-046087
285968,Quiet times by the riverside,1488322,David,,Girona,41.9858756,2.8247884,Entire home/apt,77,3,274,2024-06-01,1.90,1,76,36,HUTG-000121
541344,Beautiful Villa Mare Llafranc,2161783,Pepe,,Palafrugell,41.89455,3.1935,Entire home/apt,699,5,33,2023-09-10,0.25,1,302,2,HUTG-012351
304363,"Bright, Riverside Apartment No 4 close to old town",153805,Karen,,Girona,41.98964,2.82356,Entire home/apt,80,5,111,2023-10-22,0.76,2,168,6,
549163,Casa con piscina en la Costa Brava,2699942,Francesca,,Tossa de Mar,41.71829,2.90569,Entire home/apt,148,7,7,2023-12-26,0.10,1,309,1,HUTG-003850
323402,"Villa Fluvia: 1200m city, swimming pool, sea view",1554685,Geny,,Lloret de Mar,41.7132,2.85667,Entire home/apt,1300,2,18,2024-06-16,0.32,1,298,9,HUTG-023733
336151,"Girona, Spain -Can Bici: Sleeps 3-4",1711073,Marty,,Girona,41.97516,2.82959,Entire home/apt,95,2,44,2024-04-28,0.40,1,291,6,HUTB-032080
553009,Charming Bungalow overlooking Tossa,2717895,Robby,,Tossa de Mar,41.72154,2.93579,Entire home/apt,194,3,54,2024-06-26,0.63,1,184,4,HUTG-024194
349360,Quiet apartment in Girona,725885,Oriol,,Girona,41.98876,2.83008,Entire home/apt,100,4,155,2024-06-15,1.06,1,118,12,HUTG-018697
558914,"APART. 5 STARS. CON PISCINA, EN PLAYA FANALS",2735347,Jose Antonio,,Lloret de Mar,41.69676,2.83216,Entire home/apt,100,14,0,,,1,335,0,HUTG-003338
569528,Sant Feliu House Costa Brava,2803313,Jordi,,Sant Feliu de Guíxols,41.78639,3.04153,Entire home/apt,146,2,111,2024-06-24,0.83,3,312,15,HUTG-045001
378198,BEAUTIFUL HOUSE Sea Views in TOSSA,1298586,Kristjan & Ana,,Tossa de Mar,41.71809,2.92824,Entire home/apt,290,2,40,2024-06-09,0.30,108,81,7,HUTG-011068
398377,CAMA EN UNA CASA DE LA COSTA BRAVA,1989406,Mari,,Begur,41.95527,3.20726,Private room,70,2,246,2024-06-09,1.67,3,86,21,HUTG-017806
580159,Cosy appartment with nice views,2854489,Marta,,Tossa de Mar,41.72356414794922,2.936445951461792,Entire home/apt,148,1,14,2024-06-09,0.10,1,324,10,HUTG-060887
406360,Horta III - Loft - Cadaqués,2005696,Nieves,,Cadaqués,42.28822,3.28138,Entire home/apt,183,4,95,2023-09-17,0.71,6,179,11,HUTB-001166
406377,Horta IV - Loft - Cadaqués,2005696,Nieves,,Cadaqués,42.29017,3.28065,Entire home/apt,176,4,91,2024-06-24,0.62,6,363,8,HUTB-001167
582785,"Villalloret -vista mar, piscina privada,rural, Bbq",2870007,Isabel,,Lloret de Mar,41.71319,2.85748,Entire home/apt,218,7,75,2024-06-09,0.82,1,47,11,HUTG-019030
406398,Horta V - Dúplex - Cadaqués.,2005696,Nieves,,Cadaqués,42.28877,3.28051,Entire home/apt,200,4,44,2023-09-17,0.30,6,364,11,HUTB-001168
419252,"Beaches! Stunning, Chic, Spacious Stone Home A/C",1030877,Kristen,,"Cruïlles, Monells i Sant Sadurní de l'Heura",41.95543,3.01035,Entire home/apt,151,4,60,2023-08-14,0.42,3,341,2,HUTG-021814
597347,"Cozy apartment with views, terrace & parking",2953511,Xavier David,,Lloret de Mar,41.70483,2.87003,Entire home/apt,129,4,43,2023-08-27,0.32,1,26,5,HUTG-017721
424026,Attractive apartment in Costa Brava,1298586,Kristjan & Ana,,Tossa de Mar,41.72036,2.93164,Entire home/apt,146,1,49,2024-05-19,0.40,108,145,13,HUTG-011072
615412,Horta II - Cadaqués,2005696,Nieves,,Cadaqués,42.28823,3.28123,Entire home/apt,200,4,68,2024-06-28,0.57,6,365,14,HUTB-001158
438243,Beautiful house in Empordà Girona,2176453,Esther,,Maçanet de Cabrenys,42.38554,2.744854,Entire home/apt,388,2,19,2024-06-09,0.19,2,137,4,hutg-015655
621271,"Can Cirera, rural house in Girona",3079320,Jaume,,Serinyà,42.1715,2.74766,Entire home/apt,204,2,10,2023-11-05,0.08,1,309,1,PG-000234
438245,"Apartment 4 pax, 150 m from Sea",2176194,Saltviver SL,,L'Escala,42.12328,3.13526,Entire home/apt,74,5,87,2024-06-29,0.60,1,296,11,HUTB-020267
628874,APARTMENT-LOFT PALAMOS. VERY CUTE!!,3124000,Cristina,,Palamós,41.84966,3.12305,Entire home/apt,100,7,57,2023-11-03,0.40,1,53,2,HUTG-016797
443464,House for group St Jaume de Llierca,1835625,Georgina,,Sant Jaume de Llierca,42.21298,2.60775,Entire home/apt,157,2,65,2024-05-19,0.78,2,339,6,HUTG-010126
1013751,Apartment in the Port of Llançà,3491250,Carles I Eva,,Llançà,42.36913,3.15825,Entire home/apt,81,2,21,2023-05-02,0.16,1,108,0,HUTG-000700
630599,Appartement Roses Piscine Vue Mer,3134961,Adrienne,,Roses,42.24982452392578,3.190912961959839,Entire home/apt,101,4,137,2024-06-24,1.23,2,98,20,HUTG-012215
638650,Caseta a Sant Antoni de Calonge,3186753,Laia,,Calonge,41.84163,3.09009,Entire home/apt,105,6,1,2023-07-22,0.09,1,45,1,
643415,Apartment with garden near lake,3303625,Joan,,Banyoles,42.12426,2.76006,Entire home/apt,116,5,30,2024-06-16,0.22,1,264,6,HUTG-003551
1043918,Downtown - 5min walk to the beach,5747664,Celine,,Roses,42.2671,3.17892,Entire home/apt,112,2,102,2024-01-02,0.75,1,308,3,HUTG-064600
644988,RURAL HOUSE IN PLA DE L'ESTANY.,3228921,Carlus,,Crespià,42.18794,2.79889,Entire home/apt,250,2,13,2024-04-27,0.15,1,272,1,PG-000411
658376,"Beautiful garden house, 100m to sea",3318869,Asun,,Torroella de Montgrí,42.05348,3.19986,Entire home/apt,200,8,11,2023-09-01,0.08,1,299,3,HUTG-072445
1044402,Manolo's House,5261900,Victoria,,Cadaqués,42.28866,3.27551,Entire home/apt,310,5,29,2024-05-20,0.22,6,297,6,HUTG-025352
662554,APARTAMENTO A 17 METROS DE LA PLAYA,3346361,Juan Antonio,,Calonge,41.8477,3.10845,Entire home/apt,108,3,5,2023-08-27,0.04,1,161,1,HUTG-009574
664499,Palamós Dúplex centro. Renovado!,3375051,Montse,,Palamós,41.84581,3.1276,Entire home/apt,150,3,79,2024-06-07,0.56,1,184,8,HUTG-022332
669086,Can Caranta: Catalina House,3387407,Enric & Gemma,,Pals,41.97039,3.14931,Entire home/apt,280,2,81,2024-04-22,0.57,12,190,11,HUTG-001745
669661,Can Felip - Apartamento 2 (s.XVIII),3387407,Enric & Gemma,,Palafrugell,41.91802,3.1642,Entire home/apt,175,2,65,2024-06-15,0.46,12,204,14,HUTG-006523
1046628,house for 5 people in the Empordà,1817196,Marc,,Bellcaire d'Empordà,42.08096,3.10347,Entire home/apt,81,30,11,2023-08-19,0.08,1,47,2,pg-005060
671241,Can Tarongeta - Soleado Ático 2-1,3387407,Enric & Gemma,,Palafrugell,41.91724,3.16691,Entire home/apt,171,2,45,2024-06-04,0.32,12,240,6,HUTG-010746
671251,Can Caranta: Aurora House,3387407,Enric & Gemma,,Pals,41.97043,3.14927,Entire home/apt,332,2,71,2024-06-07,0.57,12,187,9,HUTG-001746
672069,Can Tarongeta - Soleado Apto. B-1,3387407,Enric & Gemma,,Palafrugell,41.91727,3.16684,Entire home/apt,129,2,20,2024-05-19,0.15,12,211,8,HUTG-010609
1054770,Single room near train/bus station,5499707,Pilar,,Girona,41.98098,2.81405,Private room,33,2,247,2024-05-31,1.81,2,278,15,HUTG-030108
679690,Apartamento en Peralada,3459542,Josefina,,Peralada,42.30794,3.00774,Entire home/apt,126,2,34,2023-11-13,0.35,1,301,3,PG-000109
1055326,Emporda country house Ampurias,5811951,Tanit,,Viladamat,42.13362,3.07475,Entire home/apt,180,4,16,2018-04-24,0.12,2,185,0,Exempt
684386,Отдых в течение всего года .,3489532,Alfredo,,Tossa de Mar,41.7165,2.93112,Entire home/apt,133,5,40,2023-08-15,0.30,1,310,1,HUTG-020274
695685,House in Costa Brava with salt pool,3561447,Margarita,,Calonge,41.86603,3.07679,Private room,69,1,80,2024-06-16,0.66,1,320,11,Exempt
1055412,Charming house in Costa Brava with swimming pool,5812462,Andrea,,Palafrugell,41.92963,3.12959,Entire home/apt,480,5,31,2024-03-01,0.23,1,303,2,HUTG-012352
704991,HOUSE WITH POOL AND BARBECUE,3622155,Carmina,,Cornellà del Terri,42.09975,2.78772,Entire home/apt,314,2,0,,,1,281,0,PG-000485
706549,BEAUTIFUL APARTMENT with POOL TOSSA,1298586,Kristjan & Ana,,Tossa de Mar,41.72387,2.92717,Entire home/apt,210,1,9,2022-07-28,0.08,108,179,0,HUTG-011062
714603,Rural house El Pati de l´Albera - Wine Experience,3680160,Time Process,,Sant Climent Sescebes,42.36958,2.9803,Entire home/apt,344,3,49,2024-01-01,0.35,1,353,2,PG000794
1071215,L'ESTARTIT COZY BEACHFRONT APT.,5893073,Núria,,Torroella de Montgrí,42.0554,3.20371,Entire home/apt,90,3,9,2023-07-16,0.08,1,308,1,HUTG-003777
1071662,LUXURY SEAVIEW S'AGARO COSTA BRAVA,1830359,Antonio,,Castell-Platja d'Aro,41.79542,3.05272,Entire home/apt,575,14,0,,,1,362,0,
721891,CENTURY FARMHOUSE APARTMENT XVI,3727284,Vilà,,La Cellera de Ter,41.97638,2.61334,Entire home/apt,85,2,225,2024-06-29,1.61,3,298,27,HUTG-017232
723935,Best terrace of Costa Brava,2966284,David,,Begur,41.96131,3.23035,Entire home/apt,229,4,29,2024-06-07,0.39,1,309,3,HUTG-033392
1088803,illes medes,5007417,Jordi,,Torroella de Montgrí,42.04218555404627,3.1919838843581796,Entire home/apt,54,1,17,2023-08-18,0.29,4,313,3,HUTG-006112
736891,Apartment-loft in Besalú,3846991,Violeta,,Besalú,42.19871,2.70036,Entire home/apt,81,3,121,2024-04-08,0.85,3,302,5,HUTG-000422
1111275,Apartamento independiente familiar,6093699,Fei,,Figueres,42.25694,2.9665,Entire home/apt,79,1,992,2024-06-24,7.37,2,309,105,HUTG-042140
739436,Apartamento piscina | wifi | Garaje | Roses,3867330,Antoni,,Roses,42.26629,3.14653,Entire home/apt,150,2,8,2021-01-03,0.06,2,0,0,HUTG-003690
1112277,"Beautiful room in a house in Montjuïc, Girona",5864083,Olga,,Girona,41.99071,2.82736,Private room,52,2,74,2024-06-28,0.61,1,249,19,Exempt
745384,Dream Architect in Costa Brava,52356704,Valeria,,Begur,41.95601,3.21251,Entire home/apt,500,7,29,2024-06-24,0.24,1,291,5,HUTG-001233
1116270,OLD FISHER HOUSE RENOV COSTA BRAVA,6126248,Margarita,,Sant Feliu de Guíxols,41.78479,3.03584,Entire home/apt,149,4,10,2022-08-23,0.08,1,355,0,HUTB-007485
751997,Can Felip - Ático loft del s.XVIII,3387407,Enric & Gemma,,Palafrugell,41.91798,3.16419,Entire home/apt,129,2,46,2024-06-17,0.46,12,218,15,HUTG-016218
1116752,Charming Home with Swimming Pool Near Tossa de Mar,1425732,Albert,,Caldes de Malavella,41.8051,2.84759,Entire home/apt,300,7,0,,,1,328,0,HUTG-072719
752035,Can Tarongeta - Soleado Apto. 1-1,3387407,Enric & Gemma,,Palafrugell,41.91801,3.17085,Entire home/apt,129,2,20,2023-09-14,0.15,12,221,3,HUTG-008974
1122713,Begur - COSTA BRAVA PRIVATE POOL,6159557,Fernando,,Palafrugell,41.89693,3.19159,Entire home/apt,222,7,67,2023-09-07,0.51,2,191,3,
1140003,Sunny Flat with Roof Terrace and Balcony,6220502,Darren & Yuki,,Girona,41.9775,2.80959,Entire home/apt,81,2,54,2023-10-17,0.50,1,248,2,
1140363,Tamariu: the most exclusive and quiet beach,6253854,Lupe Y Ramon,,Palafrugell,41.91834,3.20515,Entire home/apt,80,4,110,2024-03-31,0.82,1,151,4,HUTG-017839
1143427,Costabravaforrent Briu,4208003,Cristina,,L'Escala,42.10867,3.14175,Entire home/apt,265,1,7,2023-07-07,0.07,27,15,1,HUTG-011088
753604,"""La Talaia"" Holiday House - BBQ-Pool-WiFi",3964191,Oscar,,Lloret de Mar,41.7168,2.86432,Entire home/apt,250,5,89,2023-08-10,0.68,5,29,1,LLG-000010
1145799,Apartment Costa Brava (TossaMar),6282792,Adriana,,Tossa de Mar,41.72392,2.93247,Entire home/apt,129,5,33,2019-07-23,0.25,1,208,0,HUTG-014155
766763,Modern Villa with spectacular view and a pool,4043268,Fabien,,Begur,41.9618,3.22489,Entire home/apt,568,5,26,2024-06-08,0.26,2,275,2,HUTG-043628
1151260,Luxury Sea and Beach View apartment,6310057,Rajiv,,Tossa de Mar,41.72212,2.93665,Entire home/apt,160,3,3,2023-08-19,0.02,1,350,2,Exempt
784892,La Cerdanya. Queixans,4073860,Silvia,,Fontanals de Cerdanya,42.39611,1.91888,Entire home/apt,100,30,0,,,1,177,0,Exempt
1155289,Villa Welcs PDA-121-with private pool,4903781,Montserrat,,Calonge,41.83288,3.0789,Entire home/apt,229,1,32,2024-06-23,0.37,2,287,8,HUTG-009584
791845,La Caseta de fang - Casa ecológica en Costa Brava,1023612,Mercè,,Rupià,42.01708446525279,3.0106391014954634,Entire home/apt,,5,35,2023-08-12,0.26,2,55,3,HUTG-011718
794265,Casa San Antoni Calonge piscina jardin a 50m playa,4192751,Xenia,,Calonge,41.84256,3.09245,Entire home/apt,227,2,26,2024-01-01,0.30,1,320,7,HUTG-015555
1160633,Attic close Llançà Beach. Wifi,2816160,Sonia,,Llançà,42.36987,3.15986,Entire home/apt,98,5,57,2024-05-11,0.43,1,202,10,HUTG-025870
1162520,Casa rural Siglo XVIII en Pals - Costa Brava,6367643,Hilda,,Pals,41.97187,3.14245,Entire home/apt,257,2,112,2024-02-24,0.98,1,38,9,HUTG-015353
809104,Costabravaforrent Segalar 3,4208003,Cristina,,Albons,42.10369,3.0823,Entire home/apt,185,1,6,2022-07-17,0.04,27,30,0,HUTG-003712
1170806,"COSTA BRAVA, PEACE & 5MIN WALK TO THE BEACH",6272246,Eva I Ana,,Lloret de Mar,41.70822,2.87815,Private room,90,1,211,2024-06-24,1.59,3,285,18,Exempt
809136,Costabravaforrent Segalar 9,4208003,Cristina,,Albons,42.10369,3.0823,Entire home/apt,167,1,5,2019-06-01,0.04,27,8,0,HUTG-001370
1171002,"COSTA BRAVA, NATURE & 5 MIN WALK FROM DE BEACH",6272246,Eva I Ana,,Lloret de Mar,41.70829,2.87827,Private room,65,1,234,2024-06-30,1.76,3,0,24,Exempt
1171096,"BEACH 5 MIN WALK, COSTA BRAVA, NATURE & PEACE",6272246,Eva I Ana,,Lloret de Mar,41.70818,2.87825,Private room,65,1,259,2024-06-30,1.94,3,198,21,Exempt
810373,Apartment on the first line of the sea,4261656,Lisa,,Roses,42.24734,3.1973,Entire home/apt,117,3,98,2024-06-10,0.78,1,75,8,HUTG-016748
1177210,Els Racons del Fort: Castle in wine territory,3810507,Yves,,Capmany,42.37156,2.92094,Entire home/apt,521,2,43,2024-06-24,1.23,3,320,14,HUTG-028488
822805,Beautifull in the first line of sea,4320039,Luis Alberto,,Blanes,41.66193,2.78325,Entire home/apt,143,2,121,2024-06-19,0.90,4,214,18,HUTB-005153
1197111,Rustical house for rent in Pals.,5965692,Irene,,Pals,41.9688,3.14971,Entire home/apt,110,2,127,2024-06-28,0.95,1,197,11,HUTG-014105
1205757,Habitación doble + baño y terraza,6586355,Montse,,Vidreres,41.79358,2.7749,Private room,62,3,64,2024-05-12,0.48,1,348,3,
841345,Casa en piso superior y vistas a la montaña (WIFI),4393990,Juan Carlos,,Pals,41.9817,3.16882,Entire home/apt,129,7,2,2019-08-13,0.02,1,358,0,
1212820,Apartment port de rei stunning wiew,6620645,Myriam,,L'Escala,42.11314,3.16634,Entire home/apt,114,2,79,2024-06-30,0.59,2,332,4,
845209,Casa a 300 m del lago de Banyoles HUTG-030876-58,4412627,Duncan,,Banyoles,42.1151,2.75687,Entire home/apt,156,2,40,2024-05-27,0.29,2,252,6,HUTG-030876
854021,"Great family house, Costa Brava",4282861,Gerusa,,Serra de Daró,42.02797,3.07338,Entire home/apt,124,2,186,2024-06-24,1.40,1,302,19,HUTG-021231
1215790,"100m FROM THE BEACH, with TERRACE",3149645,Cristina,,Palamós,41.84959,3.12462,Entire home/apt,60,7,10,2018-02-18,0.07,1,184,0,
1222762,house in a quiet village,6404885,Maria,,Ordis,42.21859,2.90748,Entire home/apt,65,2,13,2024-04-01,0.10,1,332,5,HUTG-012585
858015,Country House “Can Noguer de Rocabruna”,1373228,Jordi,,Camprodon,42.33747,2.45288,Entire home/apt,145,2,37,2024-06-09,0.33,9,156,9,HUTG-011351
1228453,"ALMADRAVASOL·COM - Terraced house, A/C & wifi",6623729,Alex,,Roses,42.24287,3.20562,Entire home/apt,114,4,43,2024-06-23,0.58,1,136,10,HUTG-031144
1229186,RUSTIC APARTMENT TOSSA near BEACH,1298586,Kristjan & Ana,,Tossa de Mar,41.71813,2.93183,Entire home/apt,116,2,22,2023-06-15,0.17,108,184,0,HUTG-011067
876041,Amazing penthouse at the beach,12346740,Raimon,,Palamós,41.85600662231445,3.141983985900879,Entire home/apt,434,1,7,2022-04-29,0.06,55,107,0,HUTG-055166
1234785,"Begur, house w/garden & pool, view to sea & castle",6732502,Emmanuelle,,Begur,41.95149,3.20411,Entire home/apt,250,14,3,2023-08-02,0.09,1,141,1,HUTG-026895
879742,RESIDENTIAL FLAT Lloret de Mar (Nex,4652235,Milagros,,Lloret de Mar,41.69688,2.82588,Entire home/apt,219,7,21,2023-09-16,0.16,1,320,1,HUTG-013099
1235226,Romantic apartment,6734387,Encarna,,Blanes,41.675,2.78827,Entire home/apt,101,2,307,2024-06-30,2.31,1,68,4,HUTG-057866
1236131,APARTMENT POOL TERRACE TOSSA DE MAR,1298586,Kristjan & Ana,,Tossa de Mar,41.72165,2.93347,Entire home/apt,152,1,15,2021-08-25,0.13,108,148,0,HUTG-011065
891187,Spectacular house at Costa Brava,4734897,Carles&Constanze,,Palau-sator,41.99241,3.12408,Entire home/apt,495,7,26,2024-06-08,0.24,1,278,3,HUTG-028131
1242933,PALAMOS HOUSE(Near beach La Fosca) HUTG-019098,6774688,Marta,,Palamós,41.85573,3.12987,Entire home/apt,110,2,34,2023-08-03,0.26,1,127,2,HUTG-019098
891269,Can Ribes S.XII Lago de Banyoles PG-000048,4412627,Duncan,,Camós,42.07192,2.78614,Entire home/apt,473,2,51,2024-06-09,0.37,2,288,10,PG-000048
899668,Casa de campo en la Costa Brava,553059,Laura,,Llagostera,41.84349,2.95241,Entire home/apt,193,1,22,2023-09-01,0.20,5,315,6,
1243138,"Apartment to rent in ""Costa Brava""",6775668,Maria Teresa,,L'Escala,42.12483,3.13407,Entire home/apt,74,2,259,2024-06-17,1.97,1,277,19,HUTG-013861
1250062,"La Marinera Beach House, con piscina y playa cerca",6811852,Olga,,Castell-Platja d'Aro,41.82205,3.06874,Entire home/apt,301,2,3,2022-07-21,0.08,2,318,0,HUTG-025234
903777,Apartemento en la Costa Brava,4597849,Ofelia,,Castell-Platja d'Aro,41.80206,3.04137,Entire home/apt,67,5,52,2024-06-28,0.39,1,303,11,HUTG-048239
913541,Town center 3 BR Netflix Garage,4903781,Montserrat,,Girona,41.97442,2.82248,Entire home/apt,90,1,200,2024-06-17,1.45,2,17,21,HUTG-013046l
1251914,Apartamento vistas al mar en Palamós - Costa Brava,6691762,Oriol,,Calonge,41.83616,3.09261,Entire home/apt,171,2,121,2024-06-25,0.92,3,278,15,HUTG-024990
927257,Casa Rural con encanto en Cataluña,4989432,Maria,,Sant Ferriol,42.2128,2.68602,Entire home/apt,460,2,26,2024-06-29,0.19,1,133,7,HUTG-005669
929857,"House with private pool, terrace",5007417,Jordi,,Torroella de Montgrí,42.05628,3.19935,Entire home/apt,379,2,36,2023-09-10,0.30,4,313,7,
930193,"Lovely apartment,Calella palafrugel",5010327,Marc,,Palafrugell,41.89301,3.18716,Entire home/apt,160,5,54,2023-08-26,0.40,2,300,3,HUTG- 15851
934350,Beautiful House with Pool and Beach 50 meters,4673797,Nikodin,,Calonge,41.84072,3.09499,Entire home/apt,250,10,3,2019-08-18,0.04,1,319,0,
934823,3 Floors Luxurious Villa Costa Brav,5043625,Alexander,,Lloret de Mar,41.71621,2.87006,Entire home/apt,493,5,25,2022-08-30,0.22,1,271,0,HUTB-015976
939377,Luxury apartm. on the beach +pool+garage,5074486,Eveline,,Roses,42.24644,3.19747,Entire home/apt,214,7,34,2024-06-08,0.56,2,112,15,HUTG-159176
1252013,Can Rossa,6843002,Homayun,,Quart,41.94759,2.84242,Entire home/apt,285,2,21,2024-06-09,0.16,2,325,2,HUTG-014655
941444,'Masia Catalana' s.XVIII    Jardins,5007417,Jordi,,Forallac,41.94509,3.0724,Entire home/apt,540,2,15,2023-08-22,0.12,4,310,1,
941619,"""Badia""Lovely place and not expensive",5091558,Petra,,Roses,42.27005,3.1384,Entire home/apt,74,7,29,2023-09-09,0.22,12,83,5,HUTG-011422
941682,Studio apartment near the beach,2509034,Melanie,,Lloret de Mar,41.70633,2.87767,Entire home/apt,150,4,13,2018-09-26,0.10,2,311,0,HUTG-008426
1257692,Casa con encanto en COSTA BRAVA,2389641,Helena,,Ullà,42.04998,3.10835,Entire home/apt,175,7,10,2023-08-21,0.07,1,347,3,HUTG-029341
